,Date_Time,Location,Model,Label,Actual,Predict,Score
174,2023-04-04 06:00:00,CAP,OLS,Mean_PM10_EWMA,74.0,54.27,13.68
175,2023-04-04 18:00:00,CAP,OLS,Mean_PM10_EWMA,88.0,79.51,13.68
176,2023-04-05 06:00:00,CAP,OLS,Mean_PM10_EWMA,76.0,73.25,13.68
177,2023-04-05 18:00:00,CAP,OLS,Mean_PM10_EWMA,82.0,53.89,13.68
178,2023-04-06 06:00:00,CAP,OLS,Mean_PM10_EWMA,57.0,49.68,13.68
179,2023-04-06 18:00:00,CAP,OLS,Mean_PM10_EWMA,62.0,35.17,13.68
180,2023-04-07 06:00:00,CAP,OLS,Mean_PM10_EWMA,33.0,37.49,13.68
181,2023-04-07 18:00:00,CAP,OLS,Mean_PM10_EWMA,47.0,38.9,13.68
182,2023-04-08 06:00:00,CAP,OLS,Mean_PM10_EWMA,23.0,50.88,13.68
183,2023-04-08 18:00:00,CAP,OLS,Mean_PM10_EWMA,42.0,53.54,13.68
184,2023-04-09 06:00:00,CAP,OLS,Mean_PM10_EWMA,27.0,41.52,13.68
185,2023-04-09 18:00:00,CAP,OLS,Mean_PM10_EWMA,36.0,31.8,13.68
186,2023-04-10 06:00:00,CAP,OLS,Mean_PM10_EWMA,32.0,32.63,13.68
187,2023-04-10 18:00:00,CAP,OLS,Mean_PM10_EWMA,34.0,34.65,13.68
188,2023-04-11 06:00:00,CAP,OLS,Mean_PM10_EWMA,26.0,33.53,13.68
189,2023-03-11 06:00:00,COR,MLP,Max_PM25_EWMA,40.0,32.15,9.65
190,2023-03-11 18:00:00,COR,MLP,Max_PM25_EWMA,41.0,30.64,9.65
191,2023-03-12 06:00:00,COR,MLP,Max_PM25_EWMA,26.0,35.2,9.65
192,2023-03-12 18:00:00,COR,MLP,Max_PM25_EWMA,31.0,33.49,9.65
193,2023-03-13 06:00:00,COR,MLP,Max_PM25_EWMA,21.0,31.59,9.65
194,2023-03-13 18:00:00,COR,MLP,Max_PM25_EWMA,24.0,23.21,9.65
195,2023-03-14 06:00:00,COR,MLP,Max_PM25_EWMA,31.0,22.89,9.65
196,2023-03-14 18:00:00,COR,MLP,Max_PM25_EWMA,23.0,18.43,9.65
197,2023-03-15 06:00:00,COR,MLP,Max_PM25_EWMA,111.0,18.95,9.65
198,2023-03-15 18:00:00,COR,MLP,Max_PM25_EWMA,96.0,21.32,9.65
199,2023-03-16 06:00:00,COR,MLP,Max_PM25_EWMA,20.0,37.66,9.65
200,2023-03-16 18:00:00,COR,MLP,Max_PM25_EWMA,12.0,36.73,9.65
201,2023-03-17 06:00:00,COR,MLP,Max_PM25_EWMA,24.0,20.43,9.65
202,2023-03-17 18:00:00,COR,MLP,Max_PM25_EWMA,26.0,16.54,9.65
203,2023-03-18 06:00:00,COR,MLP,Max_PM25_EWMA,23.0,20.58,9.65
